U,W,L,N,nmax,boundary,g,n_realizations_used,source
3.0,6.0,7,7,3,periodic,0.1811811811811812,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,7.0,7,7,3,periodic,0.1561561561561562,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,8.0,7,7,3,periodic,0.14114114114114115,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,9.0,7,7,3,periodic,0.10610610610610616,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,10.0,7,7,3,periodic,0.061061061061061135,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,11.0,7,7,3,periodic,0.07607607607607617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,12.0,7,7,3,periodic,0.0460460460460461,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,13.0,7,7,3,periodic,0.03603603603603612,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,14.0,7,7,3,periodic,-0.0390390390390394,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,15.0,7,7,3,periodic,0.006006006006006072,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,0.5,7,7,4,periodic,0.7817817817817816,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,1.0,7,7,4,periodic,0.8568568568568571,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,2.0,7,7,4,periodic,0.4764764764764764,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,3.0,7,7,4,periodic,0.3063063063063063,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,4.0,7,7,4,periodic,0.2062062062062062,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,5.0,7,7,4,periodic,0.1711711711711712,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,6.0,7,7,4,periodic,0.11611611611611614,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,7.0,7,7,4,periodic,0.11111111111111113,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,8.0,7,7,4,periodic,0.07607607607607617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,9.0,7,7,4,periodic,0.031031031031031085,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,10.0,7,7,4,periodic,0.08108108108108117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,11.0,7,7,4,periodic,0.05605605605605614,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,12.0,7,7,4,periodic,0.04104104104104113,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,13.0,7,7,4,periodic,-0.019019019019019395,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,14.0,7,7,4,periodic,-0.0840840840840844,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
3.0,15.0,7,7,4,periodic,-0.004004004004004405,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
