L,N,nmax,W_over_t,U_over_t,observable,mean,stderr,n_disorder
7,6,6,0.5,0.39,M_sum,5.504438203157621,0.017120615718702815,30
7,6,6,0.5,0.395,M_sum,5.4949353020064535,0.016891691808059234,30
7,6,6,0.5,0.4,M_sum,5.4846549159745415,0.017022555367577272,30
7,6,6,0.5,0.405,M_sum,5.476391882045736,0.016510128830082717,30
7,6,6,0.5,0.41000000000000003,M_sum,5.467314347151653,0.016686946723142942,30
7,6,6,0.5,0.41500000000000004,M_sum,5.459291076203774,0.016245203583068107,30
7,6,6,0.5,0.42,M_sum,5.444115683294678,0.015478661616804975,30
7,6,6,0.5,0.425,M_sum,5.43159435104136,0.01524992656231854,30
7,6,6,0.5,0.43,M_sum,5.421044565529053,0.01467016928395962,30
7,6,6,0.5,0.435,M_sum,5.411223690553301,0.014839780010285986,30
7,6,6,0.5,0.44,M_sum,5.400702894262892,0.01565114886694351,30
7,6,6,0.5,0.445,M_sum,5.393576736418237,0.01568743051928602,30
7,6,6,0.5,0.45,M_sum,5.383541806740158,0.01611698852686588,30
7,6,6,0.5,0.455,M_sum,5.372366506770387,0.016465150114977872,30
7,6,6,0.5,0.46,M_sum,5.361344125800025,0.016823635845676352,30
7,6,6,0.5,0.465,M_sum,5.350878334203728,0.016375580846612704,30
7,6,6,0.5,0.47000000000000003,M_sum,5.339767173762552,0.01628009613244721,30
7,6,6,0.5,0.47500000000000003,M_sum,5.3280787468209745,0.01638669897519769,30
7,6,6,0.5,0.48,M_sum,5.318273180858176,0.01625748582527648,30
7,6,6,0.5,0.485,M_sum,5.309118364708693,0.015799467594651815,30
