L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,5,5,1.6,S2_sum,0.02793714740465706,3.4871032711571437,-27.730642024119604,0.025,ok,local_polynomial_smoothing_then_quadratic,0.018399376968066674,0.08737484908167688,198,30
7,5,5,1.6,Sstar,0.10905048535813347,1.426569281110384,-6.410187748660871,0.11,wide_ci,local_polynomial_smoothing_then_quadratic,0.011213494583498091,0.24917571505881256,182,30
7,5,5,1.7000000000000002,M_sum,0.028979174941276355,4.713456717785187,-35.5966407725227,0.03,ok,local_polynomial_smoothing_then_quadratic,0.022509028702929368,0.0934975981135118,199,30
7,5,5,1.7000000000000002,S2_sum,0.029131686045499917,3.4392428882298782,-26.09286823571499,0.03,ok,local_polynomial_smoothing_then_quadratic,0.022545195199671134,0.09626799969318107,199,30
7,5,5,1.7000000000000002,Sstar,0.11556456222572904,1.4195070236923844,-4.256167390835106,0.12,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.019035827471029224,0.32772936670938924,158,30
7,5,5,1.8000000000000003,M_sum,0.031156305823272862,4.631273668826934,-36.920083598560105,0.03,ok,local_polynomial_smoothing_then_quadratic,0.021926239265226972,0.05152668798865642,197,30
7,5,5,1.8000000000000003,S2_sum,0.03117182024338988,3.3921428118062558,-27.51316811553832,0.03,ok,local_polynomial_smoothing_then_quadratic,0.02187378579834302,0.08887737386403169,198,30
7,5,5,1.8000000000000003,Sstar,0.20073146091462174,1.4118739241077027,-2.020388943773097,0.2,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.01752231972453333,0.34389573797537426,159,30
7,5,5,1.9000000000000001,M_sum,0.031652596454709046,4.550204208522655,-39.790186716405245,0.03,ok,local_polynomial_smoothing_then_quadratic,0.0240221224012889,0.09448385816070436,200,30
7,5,5,1.9000000000000001,S2_sum,0.031637032331345,3.345214189418869,-29.717249186301505,0.03,ok,local_polynomial_smoothing_then_quadratic,0.024266562349848912,0.10624759009271786,200,30
7,5,5,1.9000000000000001,Sstar,0.28701665368134,1.4074623825087913,-4.4336684098485835,0.29,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.1114272037202026,0.38455352446002955,154,30
7,5,5,2.0,M_sum,0.03517040465473102,4.471064722055272,-35.95232237121059,0.035,ok,local_polynomial_smoothing_then_quadratic,0.027529884985400488,0.1039268840988907,198,30
7,5,5,2.0,S2_sum,0.03520801325614463,3.2991383841445736,-27.00625053494698,0.035,ok,local_polynomial_smoothing_then_quadratic,0.02747271985947717,0.10682925115821162,198,30
7,5,5,2.0,Sstar,0.2323503050245461,1.404376045674816,-4.868924823245776,0.23500000000000001,wide_ci,local_polynomial_smoothing_then_quadratic,0.12428510434835671,0.3981938308523828,186,30
7,5,5,2.1,M_sum,0.034413351529232715,4.391923450045361,-30.911002672495975,0.03,ok,local_polynomial_smoothing_then_quadratic,0.026872352950962835,0.1032293003812786,193,30
7,5,5,2.1,S2_sum,0.03451815529421255,3.252487724888666,-23.032313147323787,0.03,ok,local_polynomial_smoothing_then_quadratic,0.027013166829577637,0.11096434732089301,194,30
7,5,5,2.1,Sstar,0.1407009602851498,1.4021033813028658,-7.782952651012478,0.14,wide_ci,local_polynomial_smoothing_then_quadratic,0.13440538066465033,0.46038115488817044,191,30
7,5,5,2.2,M_sum,0.03606186959991123,4.31591313151669,-29.238916920194114,0.035,ok,local_polynomial_smoothing_then_quadratic,0.027951484603818046,0.07739205739346303,195,30
7,5,5,2.2,S2_sum,0.03613180472771276,3.2076171486326652,-22.443152417690236,0.035,ok,local_polynomial_smoothing_then_quadratic,0.02854127733044198,0.1165767802517033,196,30
7,5,5,2.2,Sstar,0.14899457394404228,1.3994483868043157,-6.438447913840383,0.15,wide_ci,local_polynomial_smoothing_then_quadratic,0.13833195196797904,0.4447216739948114,187,30
7,5,5,2.3000000000000003,M_sum,0.03693705690300246,4.241504703477325,-30.73486671707523,0.035,ok,local_polynomial_smoothing_then_quadratic,0.02800075782685971,0.06975017436041221,198,30
7,5,5,2.3000000000000003,S2_sum,0.036996770966273684,3.1633181536806525,-23.49756993793388,0.035,ok,local_polynomial_smoothing_then_quadratic,0.028339212218407683,0.06925811750333852,197,30
7,5,5,2.3000000000000003,Sstar,0.14990172955748368,1.3970344670932233,-2.2196538920194446,0.15,wide_ci,local_polynomial_smoothing_then_quadratic,0.13723877496003534,0.45238709657727055,173,30
7,5,5,2.4000000000000004,M_sum,0.040037001107696514,4.167762403187102,-22.122265489711964,0.04,ok,local_polynomial_smoothing_then_quadratic,0.029015503053578584,0.07686358389759969,199,30
7,5,5,2.4000000000000004,S2_sum,0.04013510509223795,3.119012267408642,-17.278932104313608,0.04,ok,local_polynomial_smoothing_then_quadratic,0.02900961557055239,0.12857221168802385,199,30
7,5,5,2.4000000000000004,Sstar,0.1658385155120156,1.398054748271812,-4.467287978333916,0.165,wide_ci,local_polynomial_smoothing_then_quadratic,0.13284019235941133,0.466800439245112,162,30
7,5,5,2.5000000000000004,M_sum,0.0423650779161344,4.096599299013745,-22.02062090841736,0.04,ok,local_polynomial_smoothing_then_quadratic,0.03193515574141403,0.08194929704605869,198,30
7,5,5,2.5000000000000004,S2_sum,0.04232305934224182,3.0760713531731008,-17.176858682686703,0.04,ok,local_polynomial_smoothing_then_quadratic,0.03263107479015732,0.08337163827364726,198,30
7,5,5,2.5000000000000004,Sstar,0.1630711195540499,1.399424255732212,-2.9246219128826776,0.165,wide_ci,local_polynomial_smoothing_then_quadratic,0.1311522070732263,0.5051523361497585,167,30
