L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,7,7,1.7,0.605,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.605,0.1709966238307691,0.2564949357461537,64,0.032
7,7,7,1.7,0.605,0.2564949357461537,0.3419932476615382,247,0.1235
7,7,7,1.7,0.605,0.3419932476615382,0.42749155957692275,173,0.0865
7,7,7,1.7,0.605,0.42749155957692275,0.5129898714923073,65,0.0325
7,7,7,1.7,0.605,0.5129898714923073,0.5984881834076918,144,0.072
7,7,7,1.7,0.605,0.5984881834076918,0.6839864953230764,84,0.042
7,7,7,1.7,0.605,0.6839864953230764,0.769484807238461,29,0.0145
7,7,7,1.7,0.605,0.769484807238461,0.8549831191538455,29,0.0145
7,7,7,1.7,0.605,0.8549831191538455,0.9404814310692301,139,0.0695
7,7,7,1.7,0.605,0.9404814310692301,1.0259797429846147,89,0.0445
7,7,7,1.7,0.605,1.0259797429846147,1.1114780548999992,13,0.0065
7,7,7,1.7,0.605,1.1114780548999992,1.1969763668153837,2,0.001
7,7,7,1.7,0.605,1.1969763668153837,1.2824746787307684,2,0.001
7,7,7,1.7,0.605,1.2824746787307684,1.3679729906461529,1,0.0005
7,7,7,1.7,0.605,1.3679729906461529,1.4534713025615373,0,0.0
7,7,7,1.7,0.605,1.4534713025615373,1.538969614476922,0,0.0
7,7,7,1.7,0.605,1.538969614476922,1.6244679263923065,0,0.0
7,7,7,1.7,0.605,1.6244679263923065,1.709966238307691,0,0.0
7,7,7,1.7,0.605,1.709966238307691,1.7954645502230757,0,0.0
7,7,7,1.7,0.605,1.7954645502230757,1.8809628621384602,0,0.0
7,7,7,1.7,0.605,1.8809628621384602,1.9664611740538447,0,0.0
7,7,7,1.7,0.605,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,1.7,0.605,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,1.7,0.605,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,1.7,0.605,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,1.7,0.605,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,1.7,0.605,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,1.7,0.605,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,1.7,0.61,0.0,0.08549831191538455,923,0.4615
7,7,7,1.7,0.61,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.61,0.1709966238307691,0.2564949357461537,76,0.038
7,7,7,1.7,0.61,0.2564949357461537,0.3419932476615382,240,0.12
7,7,7,1.7,0.61,0.3419932476615382,0.42749155957692275,164,0.082
7,7,7,1.7,0.61,0.42749155957692275,0.5129898714923073,68,0.034
7,7,7,1.7,0.61,0.5129898714923073,0.5984881834076918,141,0.0705
7,7,7,1.7,0.61,0.5984881834076918,0.6839864953230764,80,0.04
