L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
8,8,2,14.0,1.0,0.219630069149537,0.9569522531593538,10
8,8,2,15.0,1.0,0.11757428029644817,0.9760101307979998,10
8,8,3,0.1,1.0,0.29363836133991844,0.8193141477834519,10
8,8,3,0.25,1.0,0.30163899841626846,0.8117777383143069,10
8,8,3,0.5,1.0,0.30801226824130784,0.8050509691411801,10
8,8,3,0.75,1.0,0.31512937716034234,0.7973597376741709,10
8,8,3,1.0,1.0,0.3208116825299551,0.7914661984619493,10
8,8,3,2.0,1.0,0.31220590416360483,0.8077190631626496,10
8,8,3,3.0,1.0,0.27207039209631595,0.8579051970726296,10
8,8,3,4.0,1.0,0.2250859325268834,0.9091547565103074,10
8,8,3,5.0,1.0,0.1986264361247598,0.9383806234641948,10
8,8,3,6.0,1.0,0.18524770105466296,0.9527046621415638,10
8,8,3,7.0,1.0,0.16345596587462236,0.9650924271738016,10
8,8,3,8.0,1.0,0.13612646705597908,0.9759819291101993,10
8,8,3,9.0,1.0,0.12203208738509357,0.9804982735199954,10
8,8,3,10.0,1.0,0.08878192761625778,0.9881052205680305,10
8,8,3,11.0,1.0,0.09559898269782605,0.9846742140954277,10
8,8,3,12.0,1.0,0.1746168699608219,0.9707309104110349,10
8,8,3,13.0,1.0,0.13144790728414066,0.9812864855762955,10
8,8,3,14.0,1.0,0.12823503444613193,0.9830027833219452,10
8,8,3,15.0,1.0,0.10572154256575426,0.9829598247149743,10
8,8,4,0.1,1.0,0.2499943354504062,0.8574324578811061,10
8,8,4,0.25,1.0,0.25391690541221007,0.8543199284295055,10
8,8,4,0.5,1.0,0.2550255513990034,0.8527746644158901,10
8,8,4,0.75,1.0,0.257184691558069,0.8501799799289536,10
8,8,4,1.0,1.0,0.2570928545011602,0.8495207513568843,10
8,8,4,2.0,1.0,0.24305203522048371,0.8661734025414389,10
8,8,4,3.0,1.0,0.21327590326613408,0.9029073765688734,10
8,8,4,4.0,1.0,0.18087392335215013,0.9354289930686859,10
8,8,4,5.0,1.0,0.15765712342008986,0.9554850990634459,10
8,8,4,6.0,1.0,0.13040235423637775,0.9711434039842451,10
8,8,4,7.0,1.0,0.09729406537255572,0.9844893384424442,10
8,8,4,8.0,1.0,0.10867625240380716,0.9824990536054146,10
8,8,4,9.0,1.0,0.08635968570036552,0.9872405482339716,10
8,8,4,10.0,1.0,0.1126815814566601,0.9810923858241478,10
8,8,4,11.0,1.0,0.07996688742373685,0.9904642237794178,10
8,8,4,12.0,1.0,0.12001034485274592,0.9827282758183494,10
8,8,4,13.0,1.0,0.09419525044841548,0.9866091675553027,10
8,8,4,14.0,1.0,0.09962887698137926,0.9879202689404472,10
8,8,4,15.0,1.0,0.08497343898277805,0.9896736192135611,10
